,,,,,,,Def,Def,Def,Def,,-additional
Rk,Player,Int,Season▼,Age,G,GS,Int,Yds,IntTD,PD,Pos,-9999
1,Kerby Joseph,9,2024,24,17,17,9,99,1,12,FS,JoseKe03
2,Xavier McKinney,8,2024,26,17,17,8,128,0,11,FS,McKiXa00
3,DaRon Bland,9,2023,24,17,15,9,209,5,15,CB,BlanDa00
4,Trevon Diggs,11,2021,23,16,16,11,142,2,21,LCB,DiggTr00
5,J.C. Jackson,8,2021,26,17,17,8,92,1,23,LCB,JackJ.00
6,Xavien Howard,10,2020,27,16,16,10,77,0,20,RCB,HowaXa00
7,J.C. Jackson,9,2020,25,16,11,9,80,0,14,LCB,JackJ.00
8,Kevin Byard,8,2017,24,16,16,8,130,0,16,FS,ByarKe01
9,Reggie Nelson,8,2015,32,16,16,8,115,0,14,FS,NelsRe99
10,Marcus Peters,8,2015,22,16,16,8,280,2,26,LCB,PeteMa00
11,Tim Jennings,9,2012,29,14,14,9,105,1,21,LCB,JennTi20
12,Stevie Brown,8,2012,25,16,11,8,307,0,11,SS,BrowSt99
13,Ed Reed,8,2010,32,10,10,8,183,0,16,FS,ReedEd00
14,Jairus Byrd,9,2009,23,14,11,9,118,0,11,FS,ByrdJa99
15,Asante Samuel,9,2009,28,16,16,9,117,0,16,LCB,SamuAs20
16,Darren Sharper,9,2009,34,14,14,9,376,3,15,FS,SharDa00
17,Charles Woodson,9,2009,33,16,16,9,179,3,18,LCB,WoodCh00
18,Ed Reed,9,2008,30,16,16,9,264,2,16,FS,ReedEd00
19,Antonio Cromartie,10,2007,23,16,8,10,144,1,18,RCB,CromAn20
20,O.J. Atogwe,8,2007,26,16,16,8,125,1,12,FS,AtogO.20
21,Champ Bailey,10,2006,28,16,16,10,162,1,21,LCB,BailCh00
22,Asante Samuel,10,2006,25,15,15,10,120,0,24,LCB/RCB,SamuAs20
23,Nnamdi Asomugha,8,2006,25,15,15,8,59,1,19,LCB,AsomNn20
24,Walt Harris,8,2006,32,15,15,8,84,1,20,RCB,HarrWa21
25,Rashean Mathis,8,2006,26,16,16,8,146,0,21,LCB,MathRa99
26,Ty Law,10,2005,31,16,16,10,195,1,18,LCB,LawxTy00
27,Deltha O'Neal,10,2005,28,15,14,10,103,0,20,LCB,ONeaDe00
28,Darren Sharper,9,2005,30,14,14,9,276,2,16,FS,SharDa00
29,Champ Bailey,8,2005,27,14,14,8,139,2,23,LCB,BailCh00
30,Ed Reed,9,2004,26,16,16,9,358,1,17,SS,ReedEd00
31,Tory James,8,2004,31,16,16,8,66,0,13,RCB,JameTo99
32,Tony Parrish,9,2003,28,16,16,9,202,0,18,SS,ParrTo20
33,Brian Russell,9,2003,25,16,16,9,185,0,11,FS,RussBr20
34,Corey Chavous,8,2003,27,16,16,8,143,1,14,SS,ChavCo00
35,Brian Kelly,8,2002,26,16,16,8,68,0,21,LCB,KellBr21
36,Ronde Barber,10,2001,26,16,16,10,86,1,24,RCB,BarbRo00
37,Anthony Henry,10,2001,25,16,2,10,177,1,17,DB,HenrAn20
38,Kwamie Lassiter,9,2001,32,16,16,9,80,0,15,FS,LassKw20
39,Deltha O'Neal,9,2001,24,16,16,9,115,0,25,LCB,ONeaDe00
40,Doug Evans,8,2001,31,16,16,8,126,1,19,RCB,EvanDo21
41,Ryan McNeil,8,2001,31,16,16,8,55,0,16,RCB,McNeRy20
42,Darren Sharper,9,2000,25,16,16,9,109,0,17,FS,SharDa00
43,Dexter McCleon,8,2000,27,16,16,8,28,0,19,RCB,McClDe21
44,Ty Law,9,1998,24,16,16,9,133,1,,LCB,LawxTy00
45,Terrell Buckley,8,1998,27,16,16,8,157,1,,LCB,BuckTe20
46,Kwamie Lassiter,8,1998,29,16,6,8,80,0,,FS,LassKw20
47,Sam Madison,8,1998,24,16,16,8,114,0,,RCB,MadiSa00
48,Ryan McNeil,9,1997,27,16,16,9,127,1,,RCB,McNeRy20
49,Keith Lyle,8,1997,25,16,16,8,102,0,,FS,LyleKe20
50,Mark McMillian,8,1997,27,16,2,8,274,3,,DB,McMiMa20
51,Tyrone Braxton,9,1996,32,16,16,9,128,1,,SS,BraxTy00
52,Keith Lyle,9,1996,24,16,16,9,152,0,,FS,LyleKe20
53,Ashley Ambrose,8,1996,26,16,16,8,63,1,,LCB,AmbrAs00
54,Orlando Thomas,9,1995,23,16,11,9,108,1,,FS,ThomOr20
55,Willie Clay,8,1995,25,16,16,8,173,0,,FS,ClayWi20
56,Eric Turner,9,1994,26,16,16,9,199,1,,FS,TurnEr00
57,Aeneas Williams,9,1994,26,16,16,9,89,0,,LCB,WillAe00
58,Ray Buchanan,8,1994,23,16,16,8,221,3,,FS/LCB,BuchRa00
59,Nate Odomes,9,1993,28,16,15,9,65,0,,RCB,OdomNa00
