City,Cap Space,Effective Cap Space,Cap Spending,Dead Money
New England,"$59,612,183.00","$59,612,183.00","$241,073,147.00","$21,016,371.00"
Detroit,"$48,023,401.00","$48,023,401.00","$231,027,446.00","$26,517,978.00"
San Francisco,"$45,378,567.00","$45,378,567.00","$199,267,436.00","$95,907,679.00"
Arizona,"$35,475,092.00","$35,475,092.00","$249,742,808.00","$7,399,996.00"
Green Bay,"$35,074,722.00","$35,074,722.00","$226,352,192.00","$35,357,888.00"
Seattle,"$34,911,982.00","$34,911,982.00","$178,618,379.00","$71,955,001.00"
Dallas,"$31,798,970.00","$31,798,970.00","$244,752,488.00","$29,528,873.00"
Cincinnati,"$31,194,024.00","$31,194,024.00","$246,309,251.00","$8,941,296.00"
Las Vegas,"$30,889,185.00","$30,889,185.00","$238,804,967.00","$44,320,999.00"
Philadelphia,"$30,522,977.00","$30,522,977.00","$183,007,462.00","$76,926,090.00"
Tennessee,"$29,655,172.00","$29,655,172.00","$233,313,187.00","$36,868,969.00"
New YorkA,"$29,648,778.00","$29,648,778.00","$180,251,620.00","$69,720,670.00"
Los AngelesA,"$27,259,130.00","$27,259,130.00","$229,827,843.00","$25,964,721.00"
Tampa Bay,"$26,164,240.00","$26,164,240.00","$223,378,121.00","$33,553,419.00"
Minnesota,"$23,540,752.00","$23,540,752.00","$244,388,688.00","$16,124,363.00"
New Orleans,"$22,317,855.00","$22,317,855.00","$177,255,291.00","$82,668,667.00"
Washington,"$21,086,826.00","$21,086,826.00","$262,754,454.00","$14,142,733.00"
Kansas City,"$20,043,931.00","$20,043,931.00","$252,709,479.00","$13,197,568.00"
Los AngelesN,"$19,452,413.00","$19,452,413.00","$210,558,975.00","$50,850,436.00"
Indianapolis,"$19,361,283.00","$19,361,283.00","$263,033,223.00","$7,346,703.00"
Jacksonville,"$18,818,119.00","$18,818,119.00","$213,838,845.00","$64,748,663.00"
Pittsburgh,"$17,645,146.00","$17,645,146.00","$253,991,767.00","$13,487,352.00"
Cleveland,"$17,576,239.00","$17,576,239.00","$240,692,550.00","$66,736,909.00"
Carolina,"$16,703,306.00","$16,703,306.00","$248,983,924.00","$16,686,017.00"
Baltimore,"$15,006,137.00","$15,006,137.00","$234,365,082.00","$28,160,148.00"
Houston,"$14,717,632.00","$14,717,632.00","$230,043,407.00","$43,898,343.00"
Chicago,"$13,162,139.00","$13,162,139.00","$267,207,721.00","$4,051,895.00"
Denver,"$12,621,678.00","$12,621,678.00","$233,582,236.00","$33,514,337.00"
Atlanta,"$4,961,333.00","$4,961,333.00","$271,794,623.00","$7,625,252.00"
New YorkN,"$3,822,588.00","$3,822,588.00","$258,402,037.00","$27,332,021.00"
Miami,"$964,997.00","$964,997.00","$229,974,605.00","$54,005,557.00"
Buffalo,"-$976,229.00","-$976,229.00","$243,800,301.00","$29,438,926.00"
