RANK,TEAM,PLAYERSACTIVE,AVG AGETEAM,TOTAL CAPTOP-51,CAP SPACETOP-51,TOTAL CAPALLOCATIONS,CAP SPACEALL,ACTIVE53-MAN,RESERVESIR/PUP/NFI/SUSP,DEADCAP
,,,,,,,,,,
1,CLE,90,26.6,"$301,011,172","$24,901,726","$345,508,048","-$19,595,150","$268,878,763","$9,136,876","$67,492,409"
2,SF,91,26.9,"$293,808,165","$47,652,717","$335,043,165","$6,417,717","$236,149,158","$4,715,000","$94,179,007"
3,NYG,90,26.4,"$286,281,930","$4,181,916","$324,608,597","-$34,144,751","$295,190,746","$2,066,667","$27,351,184"
4,WAS,89,28,"$281,723,011","$17,168,202","$318,488,011","-$19,596,798","$300,976,123","$3,025,000","$14,486,888"
5,ATL,90,26.8,"$280,093,212","$5,195,196","$317,783,212","-$32,494,804","$308,382,958","$1,570,000","$7,830,254"
6,LV,89,26,"$279,632,785","$35,289,566","$314,732,785","$189,566","$259,137,555","$840,000","$54,755,230"
7,JAX,90,25.8,"$278,999,460","$19,313,367","$314,325,832","-$16,013,005","$248,072,173","$1,526,372","$64,727,287"
8,HOU,90,26.9,"$278,109,220","$11,457,362","$318,246,653","-$28,680,071","$270,915,788","$3,432,523","$43,898,342"
9,IND,90,25.9,"$272,954,291","$17,694,118","$310,712,596","-$20,064,187","$299,645,089","$3,238,305","$7,829,202"
10,DAL,90,25.9,"$272,358,500","$34,629,031","$312,228,500","-$5,240,969","$277,861,283","$4,590,000","$29,777,217"
11,BUF,91,26.4,"$271,574,906","$1,595,292","$308,069,406","-$34,899,208","$277,501,718","$1,084,500","$29,483,188"
12,MIA,90,26.2,"$271,453,717","$14,398,642","$314,219,217","-$28,366,858","$252,228,998","$7,955,500","$54,034,719"
13,CHI,90,26.3,"$271,452,225","$13,876,730","$309,797,533","-$24,468,578","$302,505,330","$3,235,308","$4,056,895"
14,KC,90,25.8,"$269,312,764","$17,545,414","$307,700,677","-$20,842,499","$290,308,534","$4,097,913","$13,294,230"
15,GB,91,25.3,"$266,503,037","$31,188,965","$304,465,882","-$6,773,880","$266,313,589","$2,432,845","$35,719,448"
16,TEN,88,26.5,"$266,295,521","$34,449,007","$306,765,073","-$6,020,545","$262,025,554","$7,689,552","$37,049,967"
17,BAL,90,26,"$263,189,831","$17,048,736","$296,992,687","-$16,754,120","$275,906,601","$1,092,856","$19,993,230"
18,CAR,90,26.1,"$262,879,286","$20,401,161","$299,767,259","-$16,486,812","$276,156,922","$2,407,973","$21,202,364"
19,LAR,90,26.1,"$262,708,671","$19,060,353","$297,762,004","-$15,992,980","$246,418,235","$493,333","$50,850,436"
20,NE,90,26.1,"$262,668,509","$59,940,392","$301,074,874","$21,534,027","$276,057,806","$3,996,365","$21,020,703"
21,NO,91,26.7,"$262,432,346","$20,716,667","$302,151,486","-$19,002,473","$210,855,182","$3,856,640","$87,439,664"
22,PHI,90,25.7,"$261,152,523","$30,211,206","$297,042,523","-$5,678,794","$219,268,102","$840,000","$76,934,421"
23,CIN,90,26,"$257,094,253","$30,257,518","$291,244,253","-$3,892,482","$280,422,956",-,"$10,821,297"
24,MIN,89,26.3,"$256,632,404","$28,328,599","$291,902,403","-$6,941,400","$277,292,430","$2,389,999","$12,219,974"
25,DEN,90,26.2,"$255,939,838","$24,685,613","$293,505,074","-$12,879,623","$257,567,222","$2,485,236","$33,452,616"
26,ARI,91,26.4,"$255,614,656","$37,910,440","$297,907,987","-$4,382,891","$284,614,658","$5,893,333","$7,399,996"
27,DET,90,26.5,"$254,850,148","$51,625,877","$300,586,623","$5,889,402","$265,614,678","$10,636,475","$24,335,470"
28,TB,90,26.2,"$254,563,675","$29,439,305","$290,394,489","-$6,391,509","$254,627,088","$2,210,815","$33,556,586"
29,SEA,90,25.9,"$251,192,066","$35,200,496","$288,130,112","-$1,737,550","$213,671,609","$2,438,046","$72,020,457"
30,PIT,89,27,"$250,125,663","$35,905,802","$288,855,663","-$2,824,198","$268,923,312","$5,485,000","$14,447,351"
31,NYJ,91,25.7,"$247,827,356","$32,700,912","$283,590,689","-$3,062,421","$219,915,302","$493,333","$63,182,054"
32,LAC,89,26.1,"$238,224,102","$45,734,792","$288,655,768","-$4,696,874","$253,901,882","$17,661,666","$17,092,220"
