PICK,TOTAL VALUE,YEAR 1,YEAR 2,YEAR 3,YEAR 4
1,"$48,757,500","$8,865,000","$11,081,250","$13,297,500","$15,513,750"
2,"$46,571,074","$8,467,468","$10,584,335","$12,701,202","$14,818,069"
3,"$45,179,746","$8,214,499","$10,268,124","$12,321,749","$14,375,374"
4,"$43,589,604","$7,925,382","$9,906,728","$11,888,074","$13,869,420"
5,"$40,806,872","$7,419,431","$9,274,289","$11,129,147","$12,984,005"
6,"$35,837,732","$6,515,951","$8,144,939","$9,773,927","$11,402,915"
7,"$31,862,416","$5,793,166","$7,241,458","$8,689,750","$10,138,042"
8,"$27,887,104","$5,070,382","$6,337,978","$7,605,574","$8,873,170"
9,"$27,688,114","$5,034,202","$6,292,753","$7,551,304","$8,809,855"
10,"$26,595,118","$4,835,476","$6,044,345","$7,253,214","$8,462,083"
11,"$24,905,620","$4,528,294","$5,660,368","$6,792,442","$7,924,516"
12,"$22,520,414","$4,094,621","$5,118,276","$6,141,931","$7,165,586"
13,"$21,924,122","$3,986,204","$4,982,755","$5,979,306","$6,975,857"
14,"$20,930,294","$3,805,508","$4,756,885","$5,708,262","$6,659,639"
15,"$20,532,790","$3,733,234","$4,666,543","$5,599,852","$6,533,161"
16,"$19,340,170","$3,516,394","$4,395,493","$5,274,592","$6,153,691"
17,"$18,942,634","$3,444,115","$4,305,144","$5,166,173","$6,027,202"
18,"$18,445,724","$3,353,768","$4,192,210","$5,030,652","$5,869,094"
19,"$18,147,572","$3,299,558","$4,124,448","$4,949,338","$5,774,228"
20,"$18,048,198","$3,281,490","$4,101,863","$4,922,236","$5,742,609"
21,"$17,948,806","$3,263,419","$4,079,274","$4,895,129","$5,710,984"
22,"$17,750,036","$3,227,279","$4,034,099","$4,840,919","$5,647,739"
23,"$17,551,274","$3,191,141","$3,988,926","$4,786,711","$5,584,496"
24,"$17,153,744","$3,118,862","$3,898,578","$4,678,294","$5,458,010"
25,"$16,954,982","$3,082,724","$3,853,405","$4,624,086","$5,394,767"
26,"$16,756,186","$3,046,579","$3,808,224","$4,569,869","$5,331,514"
27,"$16,557,446","$3,010,445","$3,763,056","$4,515,667","$5,268,278"
28,"$16,458,064","$2,992,375","$3,740,469","$4,488,563","$5,236,657"
29,"$15,660,564","$2,847,375","$3,559,219","$4,271,063","$4,982,907"
30,"$15,238,238","$2,770,589","$3,463,236","$4,155,883","$4,848,530"
31,"$14,884,470","$2,706,267","$3,382,834","$4,059,401","$4,735,968"
32,"$14,656,682","$2,664,851","$3,331,064","$3,997,277","$4,663,490"
33,"$11,787,068","$2,143,103","$2,678,879","$3,214,655","$3,750,431"
34,"$11,687,680","$2,125,033","$2,656,291","$3,187,549","$3,718,807"
35,"$11,588,298","$2,106,963","$2,633,704","$3,160,445","$3,687,186"
36,"$11,389,536","$2,070,825","$2,588,531","$3,106,237","$3,623,943"
37,"$11,310,028","$2,056,369","$2,570,461","$3,084,553","$3,598,645"
38,"$11,131,116","$2,023,839","$2,529,799","$3,035,759","$3,541,719"
39,"$10,952,252","$1,991,318","$2,489,148","$2,986,978","$3,484,808"
40,"$10,793,226","$1,962,405","$2,453,006","$2,943,607","$3,434,208"
41,"$10,634,224","$1,933,495","$2,416,869","$2,900,243","$3,383,617"
42,"$10,455,328","$1,900,969","$2,376,211","$2,851,453","$3,326,695"
43,"$10,296,326","$1,872,059","$2,340,074","$2,808,089","$3,276,104"
44,"$10,144,808","$1,844,510","$2,305,638","$2,766,766","$3,227,894"
45,"$9,932,582","$1,805,924","$2,257,405","$2,708,886","$3,160,367"
46,"$9,703,998","$1,764,363","$2,205,454","$2,646,545","$3,087,636"
47,"$9,401,872","$1,709,431","$2,136,789","$2,564,147","$2,991,505"
48,"$9,203,110","$1,673,293","$2,091,616","$2,509,939","$2,928,262"
49,"$9,004,328","$1,637,150","$2,046,438","$2,455,726","$2,865,014"
50,"$8,805,580","$1,601,014","$2,001,268","$2,401,522","$2,801,776"
51,"$8,606,818","$1,564,876","$1,956,095","$2,347,314","$2,738,533"
52,"$8,408,048","$1,528,736","$1,910,920","$2,293,104","$2,675,288"
53,"$8,209,282","$1,492,597","$1,865,746","$2,238,895","$2,612,044"
54,"$8,010,512","$1,456,457","$1,820,571","$2,184,685","$2,548,799"
55,"$7,811,756","$1,420,319","$1,775,399","$2,130,479","$2,485,559"
56,"$7,712,368","$1,402,249","$1,752,811","$2,103,373","$2,453,935"
57,"$7,652,736","$1,391,406","$1,739,258","$2,087,110","$2,434,962"
58,"$7,553,362","$1,373,338","$1,716,673","$2,060,008","$2,403,343"
59,"$7,414,220","$1,348,040","$1,685,050","$2,022,060","$2,359,070"
60,"$7,354,592","$1,337,198","$1,671,498","$2,005,798","$2,340,098"
61,"$7,275,084","$1,322,742","$1,653,428","$1,984,114","$2,314,800"
62,"$7,215,450","$1,311,900","$1,639,875","$1,967,850","$2,295,825"
63,"$7,195,580","$1,308,287","$1,635,359","$1,962,431","$2,289,503"
64,"$7,155,826","$1,301,059","$1,626,324","$1,951,589","$2,276,854"
65,"$6,758,096","$1,228,745","$1,535,931","$1,843,117","$2,150,303"
66,"$6,740,686","$1,225,579","$1,531,974","$1,838,369","$2,144,764"
67,"$6,732,854","$1,224,155","$1,530,194","$1,836,233","$2,142,272"
68,"$6,720,182","$1,221,851","$1,527,314","$1,832,777","$2,138,240"
69,"$6,699,696","$1,218,126","$1,522,658","$1,827,190","$2,131,722"
70,"$6,660,650","$1,211,027","$1,513,784","$1,816,541","$2,119,298"
71,"$6,634,052","$1,206,191","$1,507,739","$1,809,287","$2,110,835"
72,"$6,615,272","$1,202,777","$1,503,471","$1,804,165","$2,104,859"
73,"$6,589,968","$1,198,176","$1,497,720","$1,797,264","$2,096,808"
74,"$6,577,432","$1,195,897","$1,494,871","$1,793,845","$2,092,819"
75,"$6,558,050","$1,192,373","$1,490,466","$1,788,559","$2,086,652"
76,"$6,503,244","$1,182,408","$1,478,010","$1,773,612","$2,069,214"
77,"$6,497,054","$1,181,282","$1,476,603","$1,771,924","$2,067,245"
78,"$6,487,870","$1,179,613","$1,474,516","$1,769,419","$2,064,322"
79,"$6,463,428","$1,175,169","$1,468,961","$1,762,753","$2,056,545"
80,"$6,440,632","$1,171,024","$1,463,780","$1,756,536","$2,049,292"
81,"$6,417,832","$1,166,878","$1,458,598","$1,750,318","$2,042,038"
82,"$6,401,692","$1,163,944","$1,454,930","$1,745,916","$2,036,902"
83,"$6,368,816","$1,157,966","$1,447,458","$1,736,950","$2,026,442"
84,"$6,345,430","$1,153,714","$1,442,143","$1,730,572","$2,019,001"
85,"$6,332,330","$1,151,333","$1,439,166","$1,726,999","$2,014,832"
86,"$6,310,110","$1,147,293","$1,434,116","$1,720,939","$2,007,762"
87,"$6,289,342","$1,143,517","$1,429,396","$1,715,275","$2,001,154"
88,"$6,278,000","$1,141,454","$1,426,818","$1,712,182","$1,997,546"
89,"$6,274,228","$1,140,769","$1,425,961","$1,711,153","$1,996,345"
90,"$6,272,346","$1,140,426","$1,425,533","$1,710,640","$1,995,747"
91,"$6,270,458","$1,140,083","$1,425,104","$1,710,125","$1,995,146"
92,"$6,261,038","$1,138,370","$1,422,963","$1,707,556","$1,992,149"
93,"$6,242,188","$1,134,943","$1,418,679","$1,702,415","$1,986,151"
94,"$6,223,338","$1,131,516","$1,414,395","$1,697,274","$1,980,153"
95,"$6,204,488","$1,128,089","$1,410,111","$1,692,133","$1,974,155"
96,"$6,185,644","$1,124,662","$1,405,828","$1,686,994","$1,968,160"
97,"$6,158,328","$1,119,696","$1,399,620","$1,679,544","$1,959,468"
98,"$6,158,328","$1,119,696","$1,399,620","$1,679,544","$1,959,468"
99,"$6,158,328","$1,119,696","$1,399,620","$1,679,544","$1,959,468"
100,"$6,158,328","$1,119,696","$1,399,620","$1,679,544","$1,959,468"
101,"$6,158,328","$1,119,696","$1,399,620","$1,679,544","$1,959,468"
102,"$6,131,004","$1,114,728","$1,393,410","$1,672,092","$1,950,774"
103,"$5,298,912","$1,114,728","$1,279,728","$1,394,728","$1,509,728"
104,"$5,274,529","$1,108,632","$1,273,632","$1,388,632","$1,503,632"
105,"$5,271,045","$1,107,761","$1,272,761","$1,387,761","$1,502,761"
106,"$5,264,465","$1,106,116","$1,271,116","$1,386,116","$1,501,116"
107,"$5,254,631","$1,103,658","$1,268,658","$1,383,658","$1,498,658"
108,"$5,248,944","$1,102,236","$1,267,236","$1,382,236","$1,497,236"
109,"$5,245,097","$1,101,274","$1,266,274","$1,381,274","$1,496,274"
110,"$5,239,711","$1,099,928","$1,264,928","$1,379,928","$1,494,928"
111,"$5,233,741","$1,098,435","$1,263,435","$1,378,435","$1,493,435"
112,"$5,226,463","$1,096,616","$1,261,616","$1,376,616","$1,491,616"
113,"$5,209,208","$1,092,302","$1,257,302","$1,372,302","$1,487,302"
