,,,,,,Tack,Tack,Tack,Tack,Tack
Rk,Sk,Season▼,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits
1,17.5,2024,17,17,17.5,33,13,46,19,36
2,19,2023,17,17,19,48,20,68,19,36
3,17.5,2023,17,17,17.5,43,23,66,17,33
4,17.5,2023,17,17,17.5,28,15,43,16,25
5,17,2023,17,17,17,57,17,74,21,22
6,16.5,2023,17,17,16.5,54,29,83,23,22
7,14.5,2023,17,17,14.5,55,35,90,23,31
8,18.5,2022,16,16,18.5,41,10,51,19,48
9,16,2022,16,15,16,37,23,60,18,26
10,16,2022,17,17,16,35,14,49,11,26
11,15.5,2022,17,17,15.5,30,14,44,17,29
12,15.5,2022,17,15,15.5,36,24,60,14,28
13,14.5,2022,17,17,14.5,38,25,63,12,20
14,22.5,2021,15,15,22.5,48,16,64,21,39
15,18.5,2021,16,16,18.5,38,11,49,17,22
16,16,2021,17,17,16,33,18,51,17,33
17,15.5,2021,17,17,15.5,40,12,52,21,32
18,15,2020,15,15,15,43,10,53,23,41
19,19.5,2019,16,16,19.5,45,13,58,19,37
20,19,2019,16,16,19,42,11,53,11,26
21,15.5,2019,16,16,15.5,37,16,53,15,25
22,14.5,2019,16,16,14.5,52,18,70,15,22
23,20.5,2018,16,16,20.5,41,18,59,25,41
24,16,2018,16,16,16,47,14,61,18,25
25,15.5,2018,16,11,15.5,35,5,40,19,29
26,14.5,2018,16,16,14.5,51,21,72,21,19
27,17,2017,16,16,17,52,7,59,28,33
28,14.5,2017,16,16,14.5,47,20,67,14,30
29,15.5,2016,16,12,15.5,32,7,39,11,16
30,17.5,2015,16,16,17.5,57,19,76,29,50
31,15,2015,16,16,15,57,20,77,23,24
32,14.5,2015,16,16,14.5,39,8,47,15,34
33,22,2014,16,16,22,60,9,69,23,25
34,20.5,2014,16,16,20.5,59,19,78,29,51
35,17,2014,16,2,17,28,10,38,15,27
36,14.5,2014,16,16,14.5,47,17,64,15,21
37,19.5,2013,16,16,19.5,44,15,59,15,21
38,19,2013,16,16,19,50,7,57,23,34
39,15,2013,16,13,15,39,20,59,17,29
40,20.5,2012,16,16,20.5,69,12,81,39,43
41,19.5,2012,16,16,19.5,50,16,66,18,29
42,18.5,2012,16,16,18.5,55,13,68,28,25
43,15,2012,16,16,15,38,15,53,13,33
44,22,2011,16,16,22,48,18,66,21,32
45,19.5,2011,16,16,19.5,48,10,58,26,29
46,18,2011,16,16,18,35,5,40,17,29
47,16.5,2011,16,12,16.5,66,20,86,23,28
48,15.5,2010,16,16,15.5,56,10,66,21,23
49,14.5,2010,16,16,14.5,37,15,52,12,27
50,17,2009,16,14,17,42,7,49,14,21
51,14.5,2009,16,16,14.5,43,8,51,19,23
52,20,2008,16,16,20,69,15,84,27,30
53,17.5,2008,16,16,17.5,37,11,48,18,25
54,16.5,2008,16,16,16.5,37,1,38,20,30
55,16,2008,15,15,16,67,34,101,16,19
56,14.5,2008,16,16,14.5,41,13,54,20,28
57,15.5,2007,14,14,15.5,56,9,65,19,24
58,17,2006,12,12,17,49,14,63,15,17
59,15.5,2006,16,16,15.5,59,30,89,13,30
60,16,2005,16,12,16,52,6,58,13,
61,16,2004,16,16,16,33,3,36,17,
62,14.5,2004,16,16,14.5,40,8,48,14,
63,18.5,2003,16,16,18.5,60,15,75,23,
64,15,2003,16,16,15,43,21,64,19,
65,15,2003,16,16,15,45,5,50,11,
66,18.5,2002,16,16,18.5,46,24,70,17,
67,15.5,2002,16,16,15.5,41,9,50,12,
68,22.5,2001,16,16,22.5,61,12,73,24,
69,15,2001,16,14,15,44,22,66,15,
70,17,2000,16,16,17,53,13,66,18,
71,16.5,2000,16,0,16.5,24,10,34,12,
72,16.5,2000,16,15,16.5,43,9,52,20,
73,15,2000,16,15,15,44,10,54,21,
74,17,1999,16,16,17,36,4,40,15,
75,16.5,1999,16,16,16.5,42,9,51,12,
76,15,1999,15,14,15,35,12,47,17,
77,16.5,1998,16,16,16.5,42,13,55,,
78,16,1998,16,16,16,33,13,46,,
79,15,1998,16,16,15,31,14,45,,
80,15,1998,15,15,15,50,3,53,,
81,15,1998,16,15,15,53,14,67,,
82,15.5,1997,16,16,15.5,47,11,58,,
83,15,1997,16,16,15,48,13,61,,
84,14.5,1996,16,16,14.5,37,14,51,,
85,17.5,1995,15,15,17.5,70,19,89,,
86,15,1993,16,15,15,,,55,,
87,19,1992,16,16,19,,,96,,
88,17,1992,16,14,17,,,64,,
89,17,1992,15,15,17,,,78,,
90,16,1992,16,16,16,,,99,,
91,15.5,1992,16,16,15.5,,,70,,
92,14.5,1992,16,16,14.5,,,64,,
93,17,1991,16,16,17,,,60,,
94,15,1991,16,16,15,,,54,,
95,15,1991,16,16,15,,,100,,
96,20,1990,15,15,20,,,63,,
97,19,1990,16,16,19,,,101,,
98,16,1990,16,16,16,,,58,,
99,21,1989,16,16,21,,,94,,
100,19.5,1989,16,16,19.5,,,86,,
101,18,1989,16,16,18,,,,,
102,16.5,1989,16,16,16.5,,,64,,
103,16.5,1989,16,15,16.5,,,56,,
104,15.5,1989,16,16,15.5,,,135,,
105,15,1989,16,15,15,,,,,
106,18,1988,16,16,18,,,133,,
107,16.5,1988,16,14,16.5,,,51,,
108,15.5,1988,12,12,15.5,,,,,
109,21,1987,12,12,21,,,76,,
110,20.5,1986,16,16,20.5,,,,,
111,18.5,1986,16,16,18.5,,,,,
112,18,1986,16,16,18,,,98,,
113,15.5,1986,16,16,15.5,,,74,,
114,15,1986,16,15,15,,,63,,
115,15,1986,16,16,15,,,,,
116,17,1985,16,16,17,,,38,,
117,16.5,1985,16,16,16.5,,,,,
118,15.5,1985,16,16,15.5,,,99,,
119,15,1985,16,16,15,,,,,
120,22,1984,16,16,22,,,,,
