,,,,,,Tack,Tack,Tack,Tack,Tack,
Comb,Season▼,Age,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Pos
,,,,,,,,,,,
173,2024,28,17,17,3.5,93,80,173,11,4,LLB
164,2024,28,17,17,2,95,69,164,10,3,FS
158,2024,24,17,16,2,98,60,158,10,2,RILB
158,2024,29,17,17,2,91,67,158,10,3,MLB
154,2024,27,16,16,1.5,81,73,154,4,3,LILB
151,2024,28,16,16,3.5,93,58,151,11,5,LLB
151,2024,29,17,17,5,85,66,151,8,16,RILB
147,2024,25,17,17,1,84,63,147,7,3,LILB
146,2024,23,17,17,1,87,59,146,6,1,SS
143,2024,27,17,17,3,86,57,143,11,6,RILB
183,2023,33,17,16,3.5,96,87,183,11,6,LB
179,2023,27,16,16,1.5,107,72,179,3,3,LB
177,2023,30,17,16,2,106,71,177,6,6,LB
173,2023,28,17,17,2.5,111,62,173,8,10,LB
163,2023,26,17,17,2,84,79,163,9,6,LILB
158,2023,26,16,16,1.5,84,74,158,5,5,LB
155,2023,27,17,17,2.5,91,64,155,8,8,LB
152,2023,31,17,17,0.5,81,71,152,5,2,LB
149,2023,27,17,17,2.5,92,57,149,11,6,LB
148,2023,28,17,17,3.5,82,66,148,7,4,LB
145,2023,24,15,15,4.5,74,71,145,14,6,LB
143,2023,24,17,17,6.5,84,59,143,10,9,LB
184,2022,27,17,17,2,128,56,184,12,9,LILB
180,2022,22,17,17,2,108,72,180,9,6,LLB
169,2022,25,17,17,4.5,103,66,169,11,4,MLB
167,2022,26,17,17,3,102,65,167,12,6,RLB/MLB
163,2022,29,17,12,0,101,62,163,6,3,RILB
161,2022,25,16,16,1,103,58,161,3,3,LILB
159,2022,26,17,17,2,99,60,159,10,5,RLB
159,2022,27,17,17,2,86,73,159,6,3,LLB
158,2022,30,17,17,1,99,59,158,5,3,RILB
151,2022,26,17,16,0,99,52,151,6,0,LLB
147,2022,23,17,17,1,99,48,147,5,1,SS
146,2022,27,17,16,5,95,51,146,10,8,LLB
192,2021,26,17,17,2,102,90,192,4,7,RILB
184,2021,24,17,17,1,109,75,184,10,3,ROLB
170,2021,31,16,16,1,93,77,170,3,3,LILB
168,2021,29,16,16,2,103,65,168,2,3,LLB
163,2021,24,17,17,3,95,68,163,12,4,RILB
154,2021,29,15,15,0,102,52,154,5,3,MLB
146,2021,28,16,16,2,102,44,146,6,6,RILB
144,2021,25,17,17,1,90,54,144,7,4,LILB
143,2021,29,15,15,5,81,62,143,8,5,MLB
164,2020,26,16,16,3,106,58,164,7,4,LILB
154,2020,25,16,16,1.5,89,65,154,5,4,RLB
151,2020,26,16,16,3,86,65,151,9,6,LILB
159,2019,29,16,16,3,86,73,159,7,4,MLB
155,2019,25,16,16,3,97,58,155,5,3,LILB
150,2019,27,16,16,1.5,93,57,150,11,7,RILB
147,2019,23,16,16,0.5,104,43,147,7,2,FS
144,2019,28,16,16,0,81,63,144,4,5,RILB
163,2018,23,15,15,7,111,52,163,12,8,LLB
144,2018,24,16,16,5,91,53,144,10,6,LILB
144,2017,25,16,16,0,84,60,144,7,2,MLB
144,2017,23,16,16,1,96,48,144,10,2,RILB
144,2017,24,16,16,3,87,57,144,4,6,MLB
167,2016,26,16,16,4.5,85,82,167,7,18,MLB
149,2016,27,16,16,4,97,52,149,11,8,LILB
148,2016,24,16,16,2.5,96,52,148,11,7,RILB
145,2016,22,16,16,3,108,37,145,12,7,MLB
145,2016,30,15,15,0,93,52,145,12,2,RLB
154,2015,27,16,16,2.5,116,38,154,7,8,LILB
150,2015,32,16,16,3,89,61,150,10,3,LLB
147,2015,25,16,16,3,85,62,147,10,5,RLB
153,2014,23,16,16,3,99,54,153,9,4,MLB
151,2014,27,16,16,2.5,117,34,151,16,4,RLB
146,2014,24,14,14,1,101,45,146,17,4,RLB
144,2014,28,16,16,0,99,45,144,5,4,RILB
171,2013,23,16,16,3,114,57,171,9,5,RLB
162,2013,29,15,15,3,122,40,162,6,8,RILB
159,2013,23,16,16,2,87,72,159,11,1,MLB
156,2013,22,16,16,2,93,63,156,10,2,MLB
145,2013,25,16,16,5,120,25,145,9,5,LILB
145,2013,23,16,16,7,107,38,145,21,13,RLB
164,2012,21,16,16,1,103,61,164,12,1,MLB
148,2012,24,16,16,2,96,52,148,6,4,LILB
148,2012,29,16,16,3,98,50,148,7,5,LLB
147,2012,26,16,16,3,88,59,147,5,5,LLB
145,2012,26,16,16,2,90,55,145,7,2,RILB
166,2011,36,16,16,1.5,96,70,166,5,8,LLB
158,2011,28,16,16,3.5,116,42,158,12,8,MLB
154,2011,28,16,16,2,89,65,154,6,4,LLB
148,2011,24,16,16,1,78,70,148,9,4,MLB
147,2011,25,16,16,1,87,60,147,9,3,MLB
145,2011,28,16,16,1.5,98,47,145,9,2,LLB
143,2011,23,16,16,2,111,32,143,13,6,LILB
174,2010,24,16,16,2,113,61,174,5,5,LILB
160,2010,25,16,16,1,111,49,160,6,5,MLB
151,2010,26,14,14,2,103,48,151,6,4,RILB
144,2010,27,16,16,1,109,35,144,14,5,LLB
152,2009,24,16,16,4,114,38,152,13,11,RILB
154,2008,25,16,16,2,95,59,154,3,4,RILB
174,2007,22,16,16,4,136,38,174,8,7,RILB
165,2006,33,16,16,3,103,62,165,7,3,MLB
156,2006,22,16,16,3.5,126,30,156,13,9,MLB
146,2006,31,16,16,2,101,45,146,9,3,MLB
144,2006,29,16,16,2.5,100,44,144,4,2,RLB
143,2006,33,16,16,2.5,99,44,143,4,5,RILB
173,2005,23,16,16,0.5,128,45,173,7,,MLB
162,2005,32,14,14,2,107,55,162,13,,MLB
158,2005,30,16,16,4,104,54,158,6,,MLB
154,2005,32,16,16,3,114,40,154,4,,LILB
149,2005,27,16,16,2,89,60,149,9,,LILB
152,2004,27,16,16,5,100,52,152,9,,RLB
152,2004,31,16,16,1,106,46,152,2,,LILB
147,2004,29,15,15,1,101,46,147,6,,RILB
145,2004,31,13,13,2,85,60,145,9,,MLB
144,2004,29,16,16,3.5,94,50,144,10,,MLB
166,2003,29,16,16,4,107,59,166,8,,RILB
163,2003,28,16,16,1.5,121,42,163,7,,RILB
162,2003,30,16,16,0.5,124,38,162,6,,RLB
153,2003,30,15,15,1,85,68,153,10,,MLB
150,2003,33,16,16,2,111,39,150,14,,MLB
145,2003,25,16,16,1,112,33,145,6,,RLB
144,2003,28,16,16,0,126,18,144,6,,LILB
156,2002,29,16,16,0.5,100,56,156,4,,MLB
153,2002,24,16,16,4.5,117,36,153,19,,MLB
149,2002,27,16,16,3,98,51,149,4,,MLB
144,2002,24,16,16,3,105,39,144,13,,LILB
143,2002,26,16,16,0,107,36,143,8,,LILB
162,2001,26,16,16,3.5,114,48,162,13,,MLB
155,2001,28,15,15,3,95,60,155,4,,MLB
146,2001,28,16,16,2,98,48,146,10,,MLB
145,2001,26,16,16,1,109,36,145,5,,RLB
160,2000,24,16,16,0,103,57,160,3,,RLB
157,2000,27,16,16,4,119,38,157,11,,MLB
155,2000,24,16,16,1.5,118,37,155,4,,SS
147,2000,24,16,16,4,119,28,147,11,,LLB
146,2000,27,16,16,1,123,23,146,13,,RLB
165,1999,24,16,16,3.5,130,35,165,19,,MLB
153,1999,26,16,16,2,119,34,153,14,,RLB
158,1998,25,16,16,0,123,35,158,,,RLB
149,1998,28,16,16,7.5,117,32,149,,,RLB
146,1998,29,16,16,3,115,31,146,,,MLB
184,1997,22,16,16,4,156,28,184,,,MLB
160,1997,27,16,16,2.5,116,44,160,,,MLB
147,1997,32,16,16,1,105,42,147,,,MLB
145,1997,24,16,16,1.5,102,43,145,,,RLB
165,1996,27,16,16,2,123,42,165,,,SS
157,1996,31,16,16,0,111,46,157,,,LILB
154,1996,23,16,16,2,120,34,154,,,MLB
152,1995,30,16,16,1,111,41,152,,,MLB
195,1994,29,16,16,0,124,71,195,,,LILB
155,1994,35,16,16,1,115,40,155,,,LILB
155,1994,25,16,16,5.5,124,31,155,,,RLB
214,1993,28,16,16,1,,,214,,,MLB
189,1993,28,16,16,1,,,189,,,MLB
