PFL_Name,Team,Position,PFL_Contract_Value,PFL_Contract_Years,Real_Contract_Value,Real_Contract_Years,Status,Difference
Vencie Brezina,Cincinnati Bengals,WR,161000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rashean Fanaika,Buffalo Bills,QB,330000000.0,6,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jeffery Stills,Minnesota Vikings,WR,140000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jerone Danehe,Baltimore Ravens,QB,1030000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Billie Lio,Philadelphia Eagles,RT,25000000.0,1,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rishaw Messner,Cleveland Browns,DE,160000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Salem Hollas,Philadelphia Eagles,RB,41200000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Woodie Colston,Baltimore Ravens,RB,30000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jacques Montalbo,San Francisco 49ers,TE,76400000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jeron Fordham,Dallas Cowboys,DE,17079793.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Marcel Gruttadauria,Kansas City Chiefs,DT,158750000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Darryal Mira,New York N Giants,DT,89.5,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Major Ridge,San Francisco 49ers,ILB,63000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Lennox Lalonde,Cincinnati Bengals,QB,275000000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Kit Giugliano,Denver Broncos,CB,96000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jerrol Mckyer,San Francisco 49ers,LT,82660000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Alshon Kelcher,Detroit Lions,WR,120010000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jules Schnellbacher,Philadelphia Eagles,LT,66000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Gaines Mayock,Las Vegas Raiders,DE,106500000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jashon Hooker,Detroit Lions,RT,112000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Philip Stennett,Pittsburgh Steelers,DE,123000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Milan Bunkley,Tampa Bay Buccaneers,LT,140600000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Windlan Kimrin,Dallas Cowboys,WR,136000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Raynoch Vollmer,New England Patriots,CB,15102868.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Armon Prchlik,Carolina Panthers,DT,96000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Raonall Grabinski,Detroit Lions,RB,17845130.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Brick Volok,Atlanta Falcons,S,64020000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Rodell Radford,San Francisco 49ers,DE,170000000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Stafford Hynes,Kansas City Chiefs,QB,450000000.0,10,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Lydell Mackenzie,Denver Broncos,G,72000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Koa Zoppetti,Miami Dolphins,WR,90000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Brentson Black,Pittsburgh Steelers,DT,29000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Keyvan Philcox,Atlanta Falcons,G,102500000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Quintus Mandich,San Francisco 49ers,RB,38000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Waddy Yokas,Kansas City Chiefs,C,72000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Bo Satele,Pittsburgh Steelers,CB,84700000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Duval Carter,Washington Commanders,LT,75000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Snitz Hannon,Baltimore Ravens,ILB,100000000.0,5,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Fredd Shields,New York A Jets,CB,100.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Suaesi Garnett,Washington Commanders,WR,68364000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Tuineau Sutch,Kansas City Chiefs,CB,13992484.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Snoop Connors,Philadelphia Eagles,WR,96000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Lavell Mcleod,Detroit Lions,DE,35713386.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Laurence Welbourn,Houston Texans,CB,90000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Elmore Hanken,Los Angeles A Chargers,S,77.532,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jerricho Gudauskas,Chicago Bears,G,35000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Jahine Gregg,Tampa Bay Buccaneers,WR,41000000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Seaman Chappell,Baltimore Ravens,DT,98000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Oronde Lanham,Los Angeles A Chargers,LT,100.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Garin Verstegen,Kansas City Chiefs,TE,34250000.0,2,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Woodchuck Hews,Tampa Bay Buccaneers,DT,71000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Linval Dufek,Green Bay Packers,S,67000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Morlon Bohren,Atlanta Falcons,RB,21958535.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Boni Vainowski,Arizona Cardinals,S,54000000.0,3,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
Teyo Alecxih,Minnesota Vikings,LT,104000000.0,4,N/A,N/A,NO_REAL_CONTRACT_FOUND,N/A
