PFL_Name,Real_Player_Name,Team,Position,PFL_Contract_Value,PFL_Contract_Years,Real_Contract_Value,Real_Contract_Years,Status,Difference
Vencie Brezina,Ja'Marr Chase,Cincinnati Bengals,WR,161000000.0,4,161000000.0,4.0,CORRECT,0.0
Rashean Fanaika,Josh Allen,Buffalo Bills,QB,330000000.0,6,330000000.0,6.0,CORRECT,0.0
Jeffery Stills,Justin Jefferson,Minnesota Vikings,WR,140000000.0,4,140000000.0,4.0,CORRECT,0.0
Jerone Danehe,Lamar Jackson,Baltimore Ravens,QB,1030000.0,1,1030000.0,1.0,CORRECT,0.0
Billie Lio,Lane Johnson,Philadelphia Eagles,RT,25000000.0,1,25000000.0,1.0,CORRECT,0.0
Rishaw Messner,Myles Garrett,Cleveland Browns,RE,160000000.0,4,160000000.0,4.0,CORRECT,0.0
Salem Hollas,Saquon Barkley,Philadelphia Eagles,HB,41200000.0,2,41200000.0,2.0,CORRECT,0.0
Woodie Colston,Derrick Henry,Baltimore Ravens,HB,30000000.0,2,30000000.0,2.0,CORRECT,0.0
Jacques Montalbo,George Kittle,San Francisco 49ers,TE,76400000.0,4,76400000.0,4.0,CORRECT,0.0
Jeron Fordham,Micah Parsons,Dallas Cowboys,LE,17079793.0,4,17079793.0,4.0,CORRECT,0.0
Marcel Gruttadauria,Chris Jones,Kansas City Chiefs,DT,158750000.0,5,158750000.0,5.0,CORRECT,0.0
Darryal Mira,N/A,New York N Giants,DT,89.5,4,N/A,N/A,NO_TEST_MATCH,N/A
Major Ridge,Fred Warner,San Francisco 49ers,MLB,63000000.0,3,63000000.0,3.0,CORRECT,0.0
Lennox Lalonde,Joe Burrow,Cincinnati Bengals,QB,275000000.0,5,275000000.0,5.0,CORRECT,0.0
Kit Giugliano,Patrick Surtain II,Denver Broncos,CB,96000000.0,4,96000000.0,4.0,CORRECT,0.0
Jerrol Mckyer,Trent Williams,San Francisco 49ers,LT,82660000.0,3,82660000.0,3.0,CORRECT,0.0
Alshon Kelcher,Amon-Ra St. Brown,Detroit Lions,WR,120010000.0,4,120010000.0,4.0,CORRECT,0.0
Jules Schnellbacher,Jordan Mailata,Philadelphia Eagles,LT,66000000.0,3,66000000.0,3.0,CORRECT,0.0
Gaines Mayock,Maxx Crosby,Las Vegas Raiders,LE,106500000.0,3,106500000.0,3.0,CORRECT,0.0
Jashon Hooker,Penei Sewell,Detroit Lions,RT,112000000.0,4,112000000.0,4.0,CORRECT,0.0
Philip Stennett,T.J. Watt,Pittsburgh Steelers,LE,123000000.0,3,123000000.0,3.0,CORRECT,0.0
Milan Bunkley,Tristan Wirfs,Tampa Bay Buccaneers,LT,140600000.0,5,140600000.0,5.0,CORRECT,0.0
Windlan Kimrin,CeeDee Lamb,Dallas Cowboys,WR,136000000.0,4,136000000.0,4.0,CORRECT,0.0
Raynoch Vollmer,Christian Gonzalez,New England Patriots,CB,15102868.0,4,15102868.0,4.0,CORRECT,0.0
Armon Prchlik,Derrick Brown,Carolina Panthers,DT,96000000.0,4,96000000.0,4.0,CORRECT,0.0
Raonall Grabinski,Jahmyr Gibbs,Detroit Lions,HB,17845130.0,4,17845130.0,4.0,CORRECT,0.0
Brick Volok,Jessie Bates III,Atlanta Falcons,FS,64020000.0,4,64020000.0,4.0,CORRECT,0.0
Rodell Radford,Nick Bosa,San Francisco 49ers,LE,170000000.0,5,170000000.0,5.0,CORRECT,0.0
Stafford Hynes,Patrick Mahomes,Kansas City Chiefs,QB,450000000.0,10,450000000.0,10.0,CORRECT,0.0
Lydell Mackenzie,Quinn Meinerz,Denver Broncos,RG,72000000.0,4,72000000.0,4.0,CORRECT,0.0
Koa Zoppetti,Tyreek Hill,Miami Dolphins,WR,90000000.0,3,90000000.0,3.0,CORRECT,0.0
Brentson Black,Cameron Heyward,Pittsburgh Steelers,DT,29000000.0,2,29000000.0,2.0,CORRECT,0.0
Keyvan Philcox,Chris Lindstrom,Atlanta Falcons,RG,102500000.0,5,102500000.0,5.0,CORRECT,0.0
Quintus Mandich,Christian McCaffrey,San Francisco 49ers,HB,38000000.0,2,38000000.0,2.0,CORRECT,0.0
Waddy Yokas,Creed Humphrey,Kansas City Chiefs,C,72000000.0,4,72000000.0,4.0,CORRECT,0.0
Bo Satele,Jalen Ramsey,Pittsburgh Steelers,CB,84700000.0,4,84700000.0,4.0,CORRECT,0.0
Duval Carter,Laremy Tunsil,Washington Commanders,LT,75000000.0,3,75000000.0,3.0,CORRECT,0.0
Snitz Hannon,Roquan Smith,Baltimore Ravens,MLB,100000000.0,5,100000000.0,5.0,CORRECT,0.0
Fredd Shields,N/A,New York A Jets,CB,100.0,4,N/A,N/A,NO_TEST_MATCH,N/A
Suaesi Garnett,Terry McLaurin,Washington Commanders,WR,68364000.0,3,68364000.0,3.0,CORRECT,0.0
Tuineau Sutch,Trent McDuffie,Kansas City Chiefs,CB,13992484.0,4,13992484.0,4.0,CORRECT,0.0
Snoop Connors,A.J. Brown,Philadelphia Eagles,WR,96000000.0,3,96000000.0,3.0,CORRECT,0.0
Lavell Mcleod,Aidan Hutchinson,Detroit Lions,LE,35713386.0,4,35713386.0,4.0,CORRECT,0.0
Laurence Welbourn,Derek Stingley Jr.,Houston Texans,CB,90000000.0,3,90000000.0,3.0,CORRECT,0.0
