firstName,lastName,Team,Position,age,overallRating
Hans,Szot,San Francisco,K,31,71
Lazarius,Mcdougle,New York A,C,27,71
Norbert,Steed,Carolina,DT,27,70
Kenard,Womble,New York N,TE,33,70
Mcneil,Turpin,New York N,LE,25,70
Bucky,Hartenstine,New York N,LG,31,69
Alvin,Henning,New Orleans,HB,28,69
Jyles,Gaechter,New York N,WR,27,68
Moose,Goff,Los Angeles N,MLB,30,68
Sankar,Wagner,Jacksonville,C,27,68
Marty,Pucci,New York A,DT,26,68
Sheddrick,Ugoh,Dallas,WR,24,68
Orian,Kompara,Los Angeles N,CB,27,68
Brodrick,Crable,New Orleans,LE,26,67
Bruce,Houser,Los Angeles N,DT,28,67
Polly,Mcquilken,Miami,DT,26,67
Eason,Sherman,Los Angeles N,HB,26,67
Kid,Cortes,New Orleans,ROLB,26,65
Hook,Landrigan,Los Angeles N,CB,25,65
Merwin,Borchardt,New York N,CB,25,65
Jarred,Upchurch,Los Angeles N,CB,24,64
Audray,Remsberg,Los Angeles N,C,24,64
Newton,Crisler,Los Angeles N,ROLB,23,64
Cal,Richins,New Orleans,RT,24,64
Quan,Mccormick,Los Angeles N,LG,25,64
Antoine,Majkowski,Los Angeles A,FS,25,64
Monte,Orlich,New York A,WR,26,64
Cedrick,Coffey,Washington,CB,26,64
Monroe,Cornelison,Los Angeles N,WR,27,63
Marq,Simington,New York A,TE,26,63
Senderrick,Eichenlaub,New York N,MLB,29,63
Fenuki,Fries,New York A,WR,26,62
Keiland,Malbrough,New York N,RT,27,62
Ifeanyi,Kulbacki,New York A,TE,26,62
Alec,Heimkreiter,New York A,ROLB,26,60
Arlen,Gage,Los Angeles A,TE,26,59
Tom,Mcshane,Tennessee,QB,30,56
