PFL_Team,NFL_Abbr,Real_Top51_Cap_M,Real_All_Cap_M,PFL_APY_M,Diff_Top51_M,Diff_All_M,Diff_Top51_Pct,Diff_All_Pct
Washington,WAS,$281.7M,$318.5M,$282.9M,$1.2M,$-35.6M,0.4%,-11.2%
New Orleans,NO,$262.4M,$302.2M,$264.2M,$1.8M,$-37.9M,0.7%,-12.6%
Carolina,CAR,$262.9M,$299.8M,$266.6M,$3.7M,$-33.2M,1.4%,-11.1%
Indianapolis,IND,$273.0M,$310.7M,$280.5M,$7.6M,$-30.2M,2.8%,-9.7%
Tampa Bay,TB,$254.6M,$290.4M,$244.6M,$-9.9M,$-45.8M,-3.9%,-15.8%
Los Angeles A,LAC,$238.2M,$288.7M,$249.5M,$11.3M,$-39.1M,4.8%,-13.5%
Los Angeles N,LAR,$262.7M,$297.8M,$247.9M,$-14.8M,$-49.9M,-5.7%,-16.8%
Atlanta,ATL,$280.1M,$317.8M,$298.4M,$18.3M,$-19.3M,6.5%,-6.1%
Seattle,SEA,$251.2M,$288.1M,$234.5M,$-16.7M,$-53.6M,-6.6%,-18.6%
Dallas,DAL,$272.4M,$312.2M,$293.2M,$20.8M,$-19.0M,7.6%,-6.1%
Jacksonville,JAX,$279.0M,$314.3M,$301.0M,$22.0M,$-13.4M,7.9%,-4.3%
Houston,HOU,$278.1M,$318.2M,$304.8M,$26.7M,$-13.4M,9.6%,-4.2%
New England,NE,$262.7M,$301.1M,$288.0M,$25.3M,$-13.1M,9.6%,-4.3%
Las Vegas,LV,$279.6M,$314.7M,$252.4M,$-27.2M,$-62.3M,-9.7%,-19.8%
Cleveland,CLE,$301.0M,$345.5M,$331.1M,$30.1M,$-14.4M,10.0%,-4.2%
Tennessee,TEN,$266.3M,$306.8M,$237.9M,$-28.3M,$-68.8M,-10.6%,-22.4%
Chicago,CHI,$271.5M,$309.8M,$302.9M,$31.4M,$-6.9M,11.6%,-2.2%
Baltimore,BAL,$263.2M,$297.0M,$293.7M,$30.5M,$-3.3M,11.6%,-1.1%
Cincinnati,CIN,$257.1M,$291.2M,$289.9M,$32.8M,$-1.4M,12.7%,-0.5%
Green Bay,GB,$266.5M,$304.5M,$305.6M,$39.1M,$1.2M,14.7%,0.4%
Miami,MIA,$271.5M,$314.2M,$317.5M,$46.0M,$3.3M,17.0%,1.0%
Arizona,ARI,$255.6M,$297.9M,$304.6M,$49.0M,$6.7M,19.2%,2.3%
Pittsburgh,PIT,$250.1M,$288.9M,$309.3M,$59.2M,$20.5M,23.7%,7.1%
San Francisco,SF,$293.8M,$335.0M,$365.0M,$71.2M,$30.0M,24.2%,9.0%
Kansas City,KC,$269.3M,$307.7M,$335.1M,$65.8M,$27.4M,24.4%,8.9%
Denver,DEN,$255.9M,$293.5M,$324.0M,$68.0M,$30.5M,26.6%,10.4%
Buffalo,BUF,$271.6M,$308.1M,$356.8M,$85.3M,$48.8M,31.4%,15.8%
Detroit,DET,$254.9M,$300.6M,$339.5M,$84.6M,$38.9M,33.2%,12.9%
Philadelphia,PHI,$261.2M,$297.0M,$349.0M,$87.9M,$52.0M,33.7%,17.5%
Minnesota,MIN,$256.6M,$291.9M,$345.8M,$89.2M,$53.9M,34.8%,18.5%
New York A,NYJ,$247.8M,$283.6M,$148.0M,$-99.8M,$-135.6M,-40.3%,-47.8%
New York N,NYG,$286.3M,$324.6M,$148.0M,$-138.3M,$-176.6M,-48.3%,-54.4%
