Rank,Team,Total_APY_M,Total_Guaranteed_M,Player_Count,Cap_Percentage
1,San Francisco,$365.03M,$575.06M,74,142.9%
2,Buffalo,$356.84M,$551.05M,74,139.7%
3,Philadelphia,$349.05M,$532.96M,74,136.7%
4,Minnesota,$345.82M,$535.86M,74,135.4%
5,Detroit,$339.50M,$517.40M,74,132.9%
6,Kansas City,$335.11M,$527.01M,74,131.2%
7,Cleveland,$331.14M,$647.17M,73,129.7%
8,Denver,$323.98M,$471.59M,74,126.9%
9,Miami,$317.49M,$396.03M,74,124.3%
10,Pittsburgh,$309.31M,$404.25M,74,121.1%
11,Green Bay,$305.62M,$441.28M,74,119.7%
12,Houston,$304.85M,$438.88M,74,119.4%
13,Arizona,$304.61M,$429.74M,74,119.3%
14,Chicago,$302.90M,$529.98M,74,118.6%
15,Jacksonville,$300.96M,$552.29M,74,117.8%
16,Atlanta,$298.44M,$511.65M,74,116.9%
17,Baltimore,$293.72M,$546.96M,74,115.0%
18,Dallas,$293.19M,$530.18M,74,114.8%
19,Cincinnati,$289.87M,$399.32M,74,113.5%
20,New England,$287.99M,$468.81M,74,112.8%
21,Washington,$282.93M,$409.20M,74,110.8%
22,Indianapolis,$280.52M,$426.72M,74,109.8%
23,Carolina,$266.58M,$399.78M,74,104.4%
24,New Orleans,$264.21M,$421.10M,74,103.4%
25,Las Vegas,$252.44M,$359.41M,74,98.8%
26,Los Angeles A,$249.55M,$418.49M,74,97.7%
27,Los Angeles N,$247.86M,$284.35M,74,97.0%
28,Tampa Bay,$244.62M,$309.82M,74,95.8%
29,Tennessee,$237.95M,$392.10M,74,93.2%
30,Seattle,$234.54M,$339.10M,74,91.8%
31,New York N,$148.00M,$296.00M,74,57.9%
32,New York A,$148.00M,$296.00M,74,57.9%
